cpds-mini16,-9.9
cpds-mini1,-9.8
cpds-mini12,-9.6
cpds-mini3,-9.4
cpds-mini7,-8.9
cpds-mini40,-8.8
cpds-mini5,-8.7
cpds-mini2,-8.6
cpds-mini34,-8.5
cpds-mini6,-8.4
cpds-mini8,-7.9
cpds-mini26,-7.8
cpds-mini32,-7.5
cpds-mini10,-7.2
cpds-mini9,-7.1
cpds-mini14,-6.9
cpds-mini13,-6.5
cpds-mini23,-6.4
cpds-mini4,-6.2
cpds-mini11,-6.1
cpds-mini20,-5.9
cpds-mini18,-5.8
cpds-mini33,-5.7
cpds-mini17,-5.6
cpds-mini15,-5.4
cpds-mini19,-5.3
cpds-mini21,-5
cpds-mini22,-4.8
cpds-mini24,-4.6
cpds-mini25,-4.3
cpds-mini27,-4.1
cpds-mini28,-4
cpds-mini31,-3.9
cpds-mini37,-3.8
cpds-mini30,-3.6
cpds-mini29,-3.3
cpds-mini35,-3.1
cpds-mini36,-2.9
cpds-mini38,-2.7
cpds-mini39,-2.4
